imagem,texto,dimensao_imagem,dimensao_texto,n_amostras,n_pares,spearman_rho,p_value
Imagem Tradicional,Texto Tradicional,128,128,3000,4498500,0.0011819935461711236,0.012177132133443831
Imagem DL,Texto DL,128,128,3000,4498500,-0.0008716318011726087,0.0645008669886751
Imagem Sem PCA,Texto Sem PCA,128,128,3000,4498500,-0.007844521642488386,3.6840126514913794e-62
Imagem Tradicional,Texto DL,128,128,3000,4498500,-0.00046896879207870796,0.31989825036182307
Imagem Tradicional,Texto Sem PCA,128,128,3000,4498500,0.0008816868411126737,0.06147988426759687
Imagem DL,Texto Tradicional,128,128,3000,4498500,-0.0029390954772113946,4.554416998189222e-10
Imagem DL,Texto Sem PCA,128,128,3000,4498500,-0.0040428883542147995,9.920354344292671e-18
Imagem Sem PCA,Texto Tradicional,128,128,3000,4498500,0.00042987272971662847,0.3619026744946794
Imagem Sem PCA,Texto DL,128,128,3000,4498500,-0.001654030101627357,0.00045124423234332156
